ID,T,tau,time,N_total,N_bulk,N_surface,Volume,R_min,R_max,R_diff,R_avg,R_std,R_skew,R_kurt,S_100,S_111,S_110,S_311,Curve_1-10,Curve_11-20,Curve_21-30,Curve_31-40,Curve_41-50,Curve_51-60,Curve_61-70,Curve_71-80,Curve_81-90,Curve_91-100,Curve_101-110,Curve_111-120,Curve_121-130,Curve_131-140,Curve_141-150,Curve_151-160,Curve_161-170,Curve_171-180,Avg_total,Avg_bulk,Avg_surf,TCN_0,TCN_1,TCN_2,TCN_3,TCN_4,TCN_5,TCN_6,TCN_7,TCN_8,TCN_9,TCN_10,TCN_11,TCN_12,TCN_13,TCN_14,TCN_15,TCN_16,TCN_17,TCN_18,TCN_19,TCN_20,BCN_0,BCN_1,BCN_2,BCN_3,BCN_4,BCN_5,BCN_6,BCN_7,BCN_8,BCN_9,BCN_10,BCN_11,BCN_12,BCN_13,BCN_14,BCN_15,BCN_16,BCN_17,BCN_18,BCN_19,BCN_20,SCN_0,SCN_1,SCN_2,SCN_3,SCN_4,SCN_5,SCN_6,SCN_7,SCN_8,SCN_9,SCN_10,SCN_11,SCN_12,SCN_13,SCN_14,SCN_15,SCN_16,SCN_17,SCN_18,SCN_19,SCN_20,Avg_bonds,Std_bonds,Max_bonds,Min_bonds,N_bonds,angle_avg,angle_std,FCC,HCP,ICOS,DECA,q6q6_avg_total,q6q6_avg_bulk,q6q6_avg_surf,q6q6_T0,q6q6_T1,q6q6_T2,q6q6_T3,q6q6_T4,q6q6_T5,q6q6_T6,q6q6_T7,q6q6_T8,q6q6_T9,q6q6_T10,q6q6_T11,q6q6_T12,q6q6_T13,q6q6_T14,q6q6_T15,q6q6_T16,q6q6_T17,q6q6_T18,q6q6_T19,q6q6_T20,q6q6_T20+,q6q6_B0,q6q6_B1,q6q6_B2,q6q6_B3,q6q6_B4,q6q6_B5,q6q6_B6,q6q6_B7,q6q6_B8,q6q6_B9,q6q6_B10,q6q6_B11,q6q6_B12,q6q6_B13,q6q6_B14,q6q6_B15,q6q6_B16,q6q6_B17,q6q6_B18,q6q6_B19,q6q6_B20,q6q6_B20+,q6q6_S0,q6q6_S1,q6q6_S2,q6q6_S3,q6q6_S4,q6q6_S5,q6q6_S6,q6q6_S7,q6q6_S8,q6q6_S9,q6q6_S10,q6q6_S11,q6q6_S12,q6q6_S13,q6q6_S14,q6q6_S15,q6q6_S16,q6q6_S17,q6q6_S18,q6q6_S19,q6q6_S20,q6q6_S20+,Total_E,Formation_E
11,273,0.00005,1,1534,966,568,2.60E-26,15.0408,18.658,3.6172,17.1107,0.636,-0.2588,-0.1973,0,72,110,3,100,211,199,54,3,0,1,0,0,0,0,0,0,0,0,0,0,0,11.1043,12.499,8.7324,0,0,0,0,0,2,25,87,150,148,80,122,447,403,63,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,62,432,400,63,6,1,0,0,0,0,0,0,0,0,0,2,25,87,150,148,78,60,15,3,0,0,0,0,0,0,0,2.91912,0.22335,3.5995,2.37291,8517,95.5361,34.23446066,25,44,0,8,3.3272,3.853,2.4331,385,246,171,132,129,105,74,78,58,49,42,26,29,10,0,0,0,0,0,0,0,0,199,159,99,77,78,70,49,57,39,36,39,25,29,10,0,0,0,0,0,0,0,0,186,87,72,55,51,35,25,21,19,13,3,1,0,0,0,0,0,0,0,0,0,0,-5661.4037,336.5363
12,273,0.00005,2,1559,974,585,2.64E-26,15.25,20.1922,4.9422,17.2101,0.7373,0.1817,0.4946,0,71,86,1,104,187,205,70,7,10,2,0,0,0,0,0,0,0,0,0,0,0,11.1084,12.5462,8.7145,0,0,1,2,6,10,22,72,134,176,88,109,439,406,91,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,58,414,405,91,3,0,0,0,0,0,0,0,1,2,6,10,22,72,134,176,85,51,25,1,0,0,0,0,0,0,0,2.92232,0.22879,3.59894,2.16763,8659,95.4877,34.30628585,35,49,0,4,3.4573,4.1622,2.2838,391,255,159,130,98,116,105,65,56,45,61,37,34,6,1,0,0,0,0,0,0,0,178,164,96,70,66,76,68,44,43,32,60,36,34,6,1,0,0,0,0,0,0,0,213,91,63,60,32,40,37,21,13,13,1,1,0,0,0,0,0,0,0,0,0,0,-5740.2743,355.4157
13,273,0.00005,3,4356,3099,1257,7.37E-26,19.0905,31.4046,12.3142,24.8253,1.5983,-0.0225,1.4353,2,145,185,30,233,248,517,218,27,11,2,1,0,0,0,0,0,0,0,0,0,0,11.2787,12.3324,8.681,0,2,0,3,6,21,82,179,252,322,232,263,1931,941,117,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,136,1890,940,117,5,0,0,0,0,0,0,2,0,3,6,21,82,179,252,321,222,127,41,1,0,0,0,0,0,0,0,2.9158,0.2022,3.59997,1.81671,24565,96.0678,34.59019808,764,458,0,23,8.0129,9.4802,4.3954,328,193,167,176,196,197,184,287,293,290,273,312,1155,279,26,0,0,0,0,0,0,0,97,70,66,79,101,90,88,162,194,189,211,294,1153,279,26,0,0,0,0,0,0,0,231,123,101,97,95,107,96,125,99,101,62,18,2,0,0,0,0,0,0,0,0,0,-16265.084,766.876
14,273,0.00005,4,6550,4675,1875,1.11E-25,21.0893,43.343,22.2537,29.0376,3.3106,0.9406,1.9215,6,146,260,43,303,293,743,439,78,16,2,1,0,0,0,0,0,0,0,0,0,0,11.1777,12.2334,8.5456,0,0,2,2,9,34,170,304,371,427,344,412,3257,1080,127,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,19,228,3207,1080,127,11,0,0,0,0,0,0,0,2,2,9,34,170,304,370,425,325,184,50,0,0,0,0,0,0,0,0,2.90626,0.19069,3.5993,1.7096,36607,96.1765,34.61749771,1420,974,0,59,8.3982,9.9651,4.4912,496,243,212,201,249,240,304,349,476,430,345,401,2150,420,34,0,0,0,0,0,0,0,115,84,79,86,109,97,140,160,330,238,268,372,2143,420,34,0,0,0,0,0,0,0,381,159,133,115,140,143,164,189,146,192,77,29,7,0,0,0,0,0,0,0,0,0,-24468.58,1141.92
15,273,0.00005,5,10175,7748,2427,1.72E-25,23.0091,44.4712,21.4622,33.4399,2.5078,0.0709,1.8002,17,202,280,59,401,432,918,539,96,35,6,0,0,0,0,0,0,0,0,0,0,0,11.3559,12.2283,8.5707,0,2,1,6,16,53,192,353,497,574,493,582,5444,1703,254,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,45,344,5392,1701,254,5,0,0,0,0,0,0,2,1,6,16,53,192,353,497,567,448,238,52,2,0,0,0,0,0,0,0,2.91023,0.18752,3.59974,1.78045,57773,96.3429,34.77095511,2684,1541,0,97,9.0675,10.3604,4.9403,469,305,271,284,298,349,420,496,746,652,556,628,3889,706,106,0,0,0,0,0,0,0,101,91,122,131,140,147,163,231,529,397,418,585,3881,706,106,0,0,0,0,0,0,0,368,214,149,153,158,202,257,265,217,255,138,43,8,0,0,0,0,0,0,0,0,0,-38240.16,1544.09
16,273,0.00005,6,12393,9842,2551,2.10E-25,25.5699,40.2473,14.6774,35.695,1.522,-0.7864,3.0869,16,260,295,83,463,374,1044,558,92,18,2,0,0,0,0,0,0,0,0,0,0,0,11.4327,12.1729,8.577,0,1,2,3,7,55,239,395,446,632,492,685,7472,1708,249,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,50,404,7423,1704,249,7,0,0,0,0,0,0,1,2,3,7,55,239,394,446,628,442,281,49,4,0,0,0,0,0,0,0,2.90694,0.17446,3.59999,2.03972,70843,96.5679,34.82904233,4191,1998,1,114,9.8275,10.8371,5.9322,271,217,243,219,296,329,446,556,899,765,604,765,5815,829,139,0,0,0,0,0,0,0,56,75,118,89,127,126,161,207,606,397,446,665,5804,826,139,0,0,0,0,0,0,0,215,142,125,130,169,203,285,349,293,368,158,100,11,3,0,0,0,0,0,0,0,0,-46845.861,1610.769
17,273,0.00005,7,13207,10590,2617,2.24E-25,29.4835,40.5452,11.0617,36.4657,1.1175,-0.0657,1.072,20,282,360,115,499,344,1106,564,83,20,1,0,0,0,0,0,0,0,0,0,0,0,11.4668,12.1642,8.6446,0,0,0,0,6,49,219,437,479,574,514,638,8363,1706,220,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,35,319,8307,1701,220,2,0,0,0,0,0,0,0,0,0,6,49,219,437,478,569,479,319,56,5,0,0,0,0,0,0,0,2.90622,0.16886,3.59994,2.32927,75721,96.6382,34.89144452,4785,2351,0,127,10.1701,11.0384,6.6561,140,152,182,199,233,313,431,635,941,858,662,793,6725,820,123,0,0,0,0,0,0,0,41,46,94,79,96,113,133,196,604,435,431,679,6701,819,123,0,0,0,0,0,0,0,99,106,88,120,137,200,298,439,337,423,231,114,24,1,0,0,0,0,0,0,0,0,-50040.109,1599.261
18,273,0.00005,8,13543,10937,2606,2.29E-25,25.6333,40.6839,15.0506,36.7871,0.9993,-0.392,6.4401,21,302,380,98,545,370,1123,498,61,7,2,0,0,0,0,0,0,0,0,0,0,0,11.4834,12.1633,8.6301,0,0,2,0,2,44,240,409,488,616,453,679,8612,1780,216,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,27,352,8556,1777,216,2,0,0,0,0,0,0,0,2,0,2,44,240,409,486,611,426,327,56,3,0,0,0,0,0,0,0,2.90621,0.16821,3.59993,2.17766,77760,96.7968,34.75613773,4921,2445,1,129,10.1995,11.0389,6.6769,143,133,219,207,241,315,440,582,991,829,683,830,6882,918,130,0,0,0,0,0,0,0,44,42,124,98,97,98,144,172,654,389,452,705,6870,918,130,0,0,0,0,0,0,0,99,91,95,109,144,217,296,410,337,440,231,125,12,0,0,0,0,0,0,0,0,0,-51345.044,1608.086
19,273,0.00005,9,13713,11079,2634,2.32E-25,25.4981,42.5402,17.0421,36.9333,0.9585,-0.2993,8.5566,34,330,354,146,615,366,1119,473,57,3,0,1,0,0,0,0,0,0,0,0,0,0,11.489,12.1687,8.6298,0,0,0,1,4,39,237,414,509,609,481,654,8710,1834,220,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,29,329,8665,1830,220,1,0,0,0,0,0,0,0,0,1,4,39,237,414,507,606,452,325,45,4,0,0,0,0,0,0,0,2.90585,0.16638,3.59984,2.32165,78774,96.6905,34.88658352,5084,2493,1,122,10.2764,11.0951,6.8326,116,128,171,199,280,282,457,608,924,862,687,875,7071,914,139,0,0,0,0,0,0,0,38,47,91,94,112,96,138,170,603,395,458,728,7057,913,139,0,0,0,0,0,0,0,78,81,80,105,168,186,319,438,321,467,229,147,14,1,0,0,0,0,0,0,0,0,-52018.574,1599.256
20,273,0.00005,10,13791,11151,2640,2.33E-25,25.5924,41.2502,15.6578,37.0104,0.9411,-0.405,8.7087,23,371,377,137,631,352,1081,496,67,12,1,0,0,0,0,0,0,0,0,0,0,0,11.4863,12.1603,8.6398,0,0,0,0,3,37,233,423,487,645,479,669,8816,1776,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,31,356,8760,1776,223,0,0,0,0,0,0,0,0,0,0,3,37,233,423,485,642,448,313,56,0,0,0,0,0,0,0,0,2.90575,0.16567,3.59992,2.34794,79204,96.7874,34.8193366,5207,2422,0,121,10.2795,11.0811,6.8936,121,116,196,190,230,318,411,654,957,868,678,880,7164,876,132,0,0,0,0,0,0,0,41,39,116,85,102,101,127,193,620,394,449,731,7145,876,132,0,0,0,0,0,0,0,80,77,80,105,128,217,284,461,337,474,229,149,19,0,0,0,0,0,0,0,0,0,-52325.664,1597.146
21,273,0.000075,1,1463,919,544,2.48E-26,14.8413,18.597,3.7556,16.8685,0.708,-0.0318,-0.1773,0,61,69,5,103,226,171,40,3,1,0,0,0,0,0,0,0,0,0,0,0,0,11.0608,12.4581,8.7004,0,0,0,0,1,4,31,63,131,173,89,119,426,355,65,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,77,415,354,65,6,0,0,0,0,0,0,0,0,0,1,4,31,63,131,173,87,42,11,1,0,0,0,0,0,0,0,2.92245,0.22792,3.59991,2.2624,8091,95.4338,34.19446472,27,41,1,13,2.8066,3.2383,2.0772,462,256,164,124,93,91,58,50,46,33,23,30,29,4,0,0,0,0,0,0,0,0,258,150,106,76,58,59,44,33,32,21,20,29,29,4,0,0,0,0,0,0,0,0,204,106,58,48,35,32,14,17,14,12,3,1,0,0,0,0,0,0,0,0,0,0,-5385.6521,334.6779
22,273,0.000075,2,1478,923,555,2.50E-26,14.7987,21.0133,6.2146,16.916,0.8386,0.5056,1.3869,0,71,79,3,107,206,182,51,5,4,0,0,0,0,0,0,0,0,0,0,0,0,11.0582,12.4778,8.6973,0,2,1,0,2,2,30,69,126,174,90,121,419,367,70,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,77,405,365,70,5,0,0,0,0,0,0,2,1,0,2,2,30,69,126,174,89,44,14,2,0,0,0,0,0,0,0,2.92029,0.22711,3.59888,2.19216,8172,95.507,34.21447575,21,50,0,11,2.8647,3.2644,2.2,424,282,177,141,96,74,63,53,49,32,23,20,33,8,3,0,0,0,0,0,0,0,240,167,108,87,63,45,40,39,31,21,18,20,33,8,3,0,0,0,0,0,0,0,184,115,69,54,33,29,23,14,18,11,5,0,0,0,0,0,0,0,0,0,0,0,-5436.9417,342.0383
23,273,0.000075,3,3221,2169,1052,5.45E-26,17.036,29.2197,12.1837,22.3652,1.9287,-0.0578,0.127,2,115,162,18,202,217,403,184,31,15,0,0,0,0,0,0,0,0,0,0,0,0,11.1872,12.42,8.6454,0,0,1,0,7,21,76,140,222,256,209,229,1145,778,135,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,117,1127,776,135,2,0,0,0,0,0,0,0,1,0,7,21,76,140,222,256,197,112,18,2,0,0,0,0,0,0,0,2.91539,0.21025,3.59959,1.83218,18017,95.9081,34.60415661,431,225,0,4,7.6305,9.266,4.2586,314,191,149,123,137,131,148,199,207,210,183,240,681,264,44,0,0,0,0,0,0,0,105,65,66,58,57,60,68,98,113,130,145,218,679,263,44,0,0,0,0,0,0,0,209,126,83,65,80,71,80,101,94,80,38,22,2,1,0,0,0,0,0,0,0,0,-11968.408,625.702
24,273,0.000075,4,4292,2970,1322,7.27E-26,18.478,33.4916,15.0137,24.8623,2.5928,0.4294,0.1797,8,147,211,41,265,189,523,291,44,9,1,0,0,0,0,0,0,0,0,0,0,0,11.1673,12.3189,8.5802,0,0,0,1,5,24,111,220,255,311,234,235,1961,809,122,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,93,1933,807,122,4,0,0,0,0,0,0,0,0,1,5,24,111,220,255,310,224,142,28,2,0,0,0,0,0,0,0,2.90719,0.19036,3.59876,2.11281,23965,96.1653,34.79778694,1056,500,0,6,9.4292,11.1751,5.5068,190,124,76,101,122,124,162,229,213,276,204,292,1631,476,72,0,0,0,0,0,0,0,28,21,17,28,30,31,38,54,85,97,128,239,1626,476,72,0,0,0,0,0,0,0,162,103,59,73,92,93,124,175,128,179,76,53,5,0,0,0,0,0,0,0,0,0,-16023.221,758.499
25,273,0.000075,5,6604,4634,1970,1.12E-25,18.4667,39.5756,21.1089,29.0333,3.6858,-0.0183,-0.6456,4,218,244,35,383,322,723,433,71,32,6,0,0,0,0,0,0,0,0,0,0,0,11.1596,12.2523,8.5893,0,2,0,3,17,28,161,270,403,523,358,385,3172,1138,141,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,195,3130,1136,141,3,0,0,0,0,0,0,2,0,3,17,28,161,270,403,518,334,190,42,2,0,0,0,0,0,0,0,2.90603,0.18969,3.59983,2.01966,36849,96.1679,34.74071832,1605,894,1,4,9.2626,10.9838,5.2137,391,172,147,164,179,176,247,283,322,427,337,448,2655,608,48,0,0,0,0,0,0,0,79,44,41,32,42,45,71,78,125,165,215,391,2650,608,48,0,0,0,0,0,0,0,312,128,106,132,137,131,176,205,197,262,122,57,5,0,0,0,0,0,0,0,0,0,-24663.862,1157.778
